Contributor,Summer Project,Final Products,UC-based OS Project
Mohammad Abdussalam,Geospatial Data Science on AsterixDB,[Poster](https://drive.google.com/file/d/1P_k5UyEYcZlGMgmpRTTViJqrQAjkskYL/view?usp=sharing) / [Product](https://github.com/Mohammad1722/chicago-crimes_geospatial-analysis),Asterix
Xuan Xu,Python Interface to HDF5 Asynchronous I/O,[Poster](https://drive.google.com/file/d/1Hk9RwH85FNpqZPup2W02HJR_c-cxQ4Gc/view?usp=sharing) / [Product](https://github.com/xxLovy/GSoC-2022-final-report),HDF5
Craig White,Create python interface for PDC,[Poster](https://drive.google.com/file/d/1ae5f4jIA0v586hgD3YScp2EV1YKxXv8s/view?usp=sharing) / [Product](https://github.com/gerzytet/pdc-python-api),PDC
Talha Ahmed,Register File Generator,[Poster](https://drive.google.com/file/d/1Hdpt7EfTNtDlqPKxGLvZYdqy4rr0z5fj/view?usp=sharing) / [Product](https://talhaahmed1.medium.com/openregfile-open-source-register-file-generation-9638d1da32a3),OpenRAM
Arman Avetisyan,OpenLane/SKY130 Demos and tutorials,[Poster](https://drive.google.com/file/d/1-0GPZhlRx0Ht0SS-zpe3iCNCO0BAqo2V/view?usp=sharing) / [Product](https://github.com/The-OpenROAD-Project/OpenLane/pull/1351),OpenRoad
Pranay Mathur,Path finding algorithm using OpenCV and machine learning,[Presentation](https://docs.google.com/presentation/d/1jDqnQPa_afbKIKaekA8qN8Qz3xF5XaL-/edit?usp=sharing&ouid=102198638194793267663&rtpof=true&sd=true) / [Product](https://matnay.github.io/GSoC/GSoC22.html),OSAVC
Bhumil Depani,Driver Module for Open Source Autonomous Vehicle Controller,[Presentation](https://docs.google.com/presentation/d/1U7wmFfLEEtVcOm4ZvLx2gBF3b0IdEVQv/edit?usp=sharing&ouid=102198638194793267663&rtpof=true&sd=true) / [Product](https://bhumildepani.github.io/gsoc.html),OSAVC
Joshua Angel,Autonomous Vehicle and Sensor Dynamic Simulation with Gazebo,Presentation/ Product,OSAVC
Asavari Ambavane,Develop a website for PolyPhy,[Poster](https://drive.google.com/file/d/11ddnRj4Cbut8_dKNFhAWBU3VyDbVYYO4/view?usp=sharing) / [Product](https://drive.google.com/file/d/1SyH-pFbWM_Bzg5A17MSaznNhWdNQQF8l/view?usp=sharing),PolyPhy
Patrice Musoke,"DevOps for PolyPhy, A Python Library for Polyphorm.",[Poster](https://drive.google.com/file/d/1oOjmGCRg0R9uPuLqwd4K_leYRz7yGsKd/view?usp=sharing) / Product,PolyPhy
Hari Prasad,Discrete graph extraction from simulated scalar fields,[Poster](https://drive.google.com/file/d/1x-7Of7V9ec-GCFm_StOtnVvXtsHEtLYu/view?usp=sharing) / [Product](https://docs.google.com/document/d/e/2PACX-1vT21sMj148UXh1nFqUMHk8SUCJmHY3ZDOadUwy2U24okSFdYaPk7NWDTJfJNPebQsMz2nqJ-pYjfTsW/pub),PolyPhy
Rachel Lau,NVMe for Rotational Media,[Poster](https://drive.google.com/file/d/1vIWYpZ00YlwQM8F1zswDuGnhPiVMFgMo/view?usp=sharing) / Product (On-going),Eusocial Storage